"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","LCSC Part"
"C1","1","100nF","","","","Capacitor_SMD:C_0402_1005Metric","~","GRM155R71C104KA88D"
"J1","1","Conn_01x06_Pin","","Excluded from BOM","","Connector_PinHeader_1.00mm:PinHeader_1x06_P1.00mm_Vertical","~",""
"U1","1","AS5047P","","","","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","https://ams.com/documents/20143/36005/AS5047D_DS000394_2-00.pdf","C962063"
